2080		CALTEM	Calidris temminckii	Lapinsirri	Mosnäppa	Temminck's Stint
2090		CALALB	Calidris alba	Pulmussirri	Sandlöpare	Sanderling
2100		CALALP	Calidris alpina	Suosirri	Kärrsnäppa	Dunlin
2110	x	CALMAR	Calidris maritima	Merisirri	Skärsnäppa	Purple Sandpiper
2120	x	CALBAI	Calidris bairdii	Eskimosirri	Gulbröstad snäppa	Baird's Sandpiper
2130		CALUTA	Calidris minuta	Pikkusirri	Småsnäppa	Little Stint
2140	x	CALFUS	Calidris fuscicollis	Valkoperäsirri	Vitgumpsnäppa	White-rumped Sandpiper
2150	x	CALLLA	Calidris minutilla	Amerikansirri	Dvärgsnäppa	Least Sandpiper
2160	x	CALSRU	Calidris subruficollis	Tundravikla	Prärielöpare	Buff-breasted Sandpiper
2170	x	CALMEL	Calidris melanotos	Palsasirri	Tuvsnäppa	Pectoral Sandpiper
2180	x	PHATRI	Phalaropus tricolor	Amerikanvesipääsky	Wilsonsimsnäppa	Wilson's Phalarope
2190		PHALOB	Phalaropus lobatus	Vesipääsky	Smalnäbbad simsnäppa	Red-necked Phalarope
2200	x	PHAFUL	Phalaropus fulicarius	Isovesipääsky	Brednäbbad simsnäppa	Red Phalarope
2210	x	XENCIN	Xenus cinereus	Rantakurvi	Tereksnäppa	Terek Sandpiper
2220		ACTHYP	Actitis hypoleucos	Rantasipi	Drillsnäppa	Common Sandpiper
2230	x	ACTMAC	Actitis macularius	Amerikansipi	Fläckdrillsnäppa	Spotted Sandpiper
2240		TRIOCH	Tringa ochropus	Metsäviklo	Skogssnäppa	Green Sandpiper
2250		TRIERY	Tringa erythropus	Mustaviklo	Svartsnäppa	Spotted Redshank
2260		TRINEB	Tringa nebularia	Valkoviklo	Gluttsnäppa	Common Greenshank
2270	x	TRIFLA	Tringa flavipes	Keltajalkaviklo	Mindre gulbena	Lesser Yellowlegs
2280	x	TRISEM	Tringa semipalmata	Preeriaviklo	Willet	Willet
2290	x	TRISTA	Tringa stagnatilis	Lampiviklo	Dammsnäppa	Marsh Sandpiper
2300		TRIGLA	Tringa glareola	Liro	Grönbena	Wood Sandpiper
2310		TRITOT	Tringa totanus	Punajalkaviklo	Rödbena	Common Redshank
2320		LYMMIN	Lymnocryptes minimus	Jänkäkurppa	Dvärgbeckasin	Jack Snipe
2330	x	LIMSCO	Limnodromus scolopaceus	Tundrakurppelo	Större beckasinsnäppa	Long-billed Dowitcher
2340		SCORUS	Scolopax rusticola	Lehtokurppa	Morkulla	Eurasian Woodcock
2350		GALGAL	Gallinago gallinago	Taivaanvuohi	Enkelbeckasin	Common Snipe
2360	x	GALDEL	Gallinago delicata	Amerikantaivaanvuohi	Wilsonbeckasin	Wilson's Snipe
2370	x	GALMED	Gallinago media	Heinäkurppa	Dubbelbeckasin	Great Snipe
2380	x	GALMEG	Gallinago megala	Siperiankurppa	Tajgabeckasin	Swinhoe's Snipe
2400	x	GLAPRA	Glareola pratincola	Pääskykahlaaja	Rödvingad vadarsvala	Collared Pratincole
2410	x	GLAMAL	Glareola maldivarum	Aasianpääskykahlaaja	Orientvadarsvala	Oriental Pratincole
2420	x	GLANOR	Glareola nordmanni	Aropääskykahlaaja	Svartvingad vadarsvala	Black-winged Pratincole
2430	x	CURCUR	Cursorius cursor	Aavikkojuoksija	Ökenlöpare	Cream-colored Courser
2450	x	STEPOM	Stercorarius pomarinus	Leveäpyrstökihu	Bredstjärtad labb	Pomarine Skua
2460		STECUS	Stercorarius parasiticus	Merikihu	Kustlabb	Parasitic Jaeger
2470	x	STELON	Stercorarius longicaudus	Tunturikihu	Fjällabb	Long-tailed Jaeger
2480	x	STESKU	Stercorarius skua	Isokihu	Storlabb	Great Skua
2500	x	FRAARC	Fratercula arctica	Lunni	Lunnefågel	Atlantic Puffin
2510		CEPGRY	Cepphus grylle	Riskilä	Tobisgrissla	Black Guillemot
2520		ALCTOR	Alca torda	Ruokki	Tordmule	Razorbill
2530	x	ALLALL	Alle alle	Pikkuruokki	Alkekung	Little Auk
2540	x	URIAAL	Uria aalge	Etelänkiisla	Sillgrissla	Common Murre
2550	x	URILOM	Uria lomvia	Pohjankiisla	Spetsbergsgrissla	Thick-billed Murre
2570	x	STEALB	Sternula albifrons	Pikkutiira	Småtärna	Little Tern
2580	x	GELNIL	Gelochelidon nilotica	Hietatiira	Sandtärna	Gull-billed Tern
2590		HYDCAS	Hydroprogne caspia	Räyskä	Skräntärna	Caspian Tern
2600	x	CHLHYB	Chlidonias hybrida	Valkoposkitiira	Skäggtärna	Whiskered Tern
2610	x	CHLNIG	Chlidonias niger	Mustatiira	Svarttärna	Black Tern
2620	x	CHLLEU	Chlidonias leucopterus	Valkosiipitiira	Vitvingad tärna	White-winged Tern
2630	x	STESAN	Sterna sandvicensis	Riuttatiira	Kentsk tärna	Sandwich Tern
2640		STEHIR	Sterna hirundo	Kalatiira	Fisktärna	Common Tern
2650		STEAEA	Sterna paradisaea	Lapintiira	Silvertärna	Arctic Tern
2670		HYDMIN	Hydrocoloeus minutus	Pikkulokki	Dvärgmås	Little Gull
2680	x	RHOROS	Rhodostethia rosea	Ruusulokki	Rosenmås	Ross's Gull
2690	x	PAGEBU	Pagophila eburnea	Jäälokki	Ismås	Ivory Gull
2700	x	XEMSAB	Xema sabini	Tiiralokki	Tärnmås	Sabine's Gull
2710	x	RISTRI	Rissa tridactyla	Pikkukajava	Tretåig mås	Black-legged Kittiwake
2720	x	LARGEN	Larus genei	Kaitanokkalokki	Långnäbbad mås	Slender-billed Gull
2730		LARRID	Larus ridibundus	Naurulokki	Skrattmås	Black-headed Gull
2740	x	LARATR	Larus atricilla	Nokisiipilokki	Sotvingad mås	Laughing Gull
2750	x	LARPIP	Larus pipixcan	Preerianaurulokki	Präriemås	Franklin's Gull
2760	x	LARAUD	Larus audouinii	Välimerenlokki	Rödnäbbad trut	Audouin's Gull
2770	x	LARMEL	Larus melanocephalus	Mustanmerenlokki	Svarthuvad mås	Mediterranean Gull
2780		LARCAN	Larus canus	Kalalokki	Fiskmås	Mew Gull
2790		LARFUS	Larus fuscus	Selkälokki	Silltrut	Lesser Black-backed Gull
2800		LARARG	Larus argentatus	Harmaalokki	Gråtrut	European Herring Gull
2810	x	LARCAC	Larus cachinnans	Aroharmaalokki	Kaspisk trut	Caspian Gull
2820	x	LARMIC	Larus michahellis	Etelänharmaalokki	Medelhavstrut	Yellow-legged Gull
2830	x	LARSCH	Larus schistisagus	Ohotanlokki	Skiffertrut	Slaty-backed Gull
2840	x	LARGLA	Larus glaucoides	Grönlanninlokki	Vitvingad trut	Iceland Gull
